Latitude_actual,Longitude_actual,Latitude_predicted,Longitude_predicted
49.18108759547704,-123.58951107268128,49.24461311176889,-123.8102637911764
45.606715882407016,-122.68608073060535,45.54979125931646,-122.6183687301926
36.588818769718536,-125.82950691070737,36.75789396146248,-126.21390642069181
36.58930450158476,-75.98604396713351,36.57218064899667,-75.9635324090454
40.69946078686563,-91.11953510896348,40.7472904386806,-91.04064387448561
48.51959851093159,-123.1352200241958,48.64420303328423,-123.1636385472712
47.8022057294875,-86.98345882817564,47.89461956304352,-86.68482959878133
37.51209,-122.19705,37.58247886467821,-122.22667590484144
39.52636,-75.81016,39.54623551521769,-75.85792793440277
40.6416303820716,-74.12734985382126,40.639324188623405,-74.12394212048802
49.4417574668526,-122.66535392411738,49.29709958420069,-122.626517455388
46.35018720751658,-125.35906468891964,46.50092570515492,-125.22487944823678
36.91658,-76.17436,36.93025012808308,-76.34045321794287
34.02070638165656,-121.77437058439028,34.17752373562307,-122.01485695354769
48.64516287575398,-123.21954778317614,48.65450713428542,-123.17341047629371
34.33932208250153,-119.86521330834252,34.42991760556363,-119.73654224619807
48.46010162011593,-123.30196861822502,48.99185270853433,-123.25970243595792
42.36277,-71.03154,42.307406635551324,-71.04354684558328
29.215943083450828,-91.52450628686584,29.288513585477563,-91.38215297591817
37.91496631450593,-122.16835748172478,37.867776358009266,-122.42189462919191
45.99390363697147,-124.46714351895471,45.95999873864268,-124.58261092240788
42.95231021922024,-91.0882767585595,42.854818183549185,-90.9959166930509
42.27666267234738,-70.00793377801288,42.45242594487446,-70.07277254875326
47.58697,-122.34565,47.57431201090244,-122.35771344915155
46.33415867354584,-123.50191279937404,46.32659531589579,-123.526016054413
35.20772,-90.06051,35.203086551234954,-90.14103497487736
32.63059,-117.10694,32.63789308964638,-117.09533368643585
34.384922855035704,-120.63437715547076,34.4202035691001,-120.90928548301605
26.257793110365498,-126.76213971169857,26.032766258257393,-127.51698836849657
47.37490522184716,-122.85396833767255,47.60332744140104,-122.55716208635356
38.44818762271298,-74.71214518809491,38.60935641733358,-74.73396447721866
36.75439,-89.11772,36.788551633609394,-89.17241193768292
47.65939399937294,-122.37165329543052,47.65395676517315,-122.37099484680981
41.38057,-71.51176,41.42410077446277,-71.72425946212378
42.239143978746455,-90.41693869472172,42.18202168975483,-90.28526436860099
21.21737991606301,-157.8633279777018,21.312028285958718,-157.84335672618775
47.89489897702359,-125.51456785551676,47.98635189014554,-125.21300066254808
41.04737,-73.48469,41.00419169252184,-73.71092926067455
35.114559300110315,-75.98500964984147,35.128445088305874,-75.9565534948453
42.34397,-70.96089,42.31148130623979,-70.9340222159776
40.5109,-74.29338,40.47474800054842,-74.19472858016533
48.61389,-123.51743,48.58246723247819,-123.534302284728
48.52222,-122.60826,48.496464084171755,-122.62005809859956
48.325105294198806,-124.2050918163069,48.34073062944811,-123.87330657748917
